
1000,20,100,2744235,3034090,2189990
2000,20,100,869765,863735,865645
3000,20,100,985180,1298360,1007225
4000,20,100,1112090,1121750,1119775
5000,20,100,1642515,1627090,1632525
6000,20,100,1511810,1646365,1735040
7000,20,100,1133550,1149445,1120355
8000,20,100,885320,895860,899895
9000,20,100,1064000,893800,889335
10000,20,100,942870,939390,940685
10000,20,1000,25029265,24257555,24201360
20000,20,1000,14159565,14280355,14015320
30000,20,1000,16821825,16667270,16541930
40000,20,1000,18977190,19027140,18994460
50000,20,1000,21930975,21646035,21794415
60000,20,1000,27310475,27087200,27390820
70000,20,1000,33247425,33451100,34014315
80000,20,1000,62490975,62264325,63077305
90000,20,1000,119997500,119463075,119954060
100000,20,1000,93848165,93602715,91712815
100000,20,10000,1901614045,1932221745,1927459585
200000,20,10000,3591463125,3652542715,3685308910
300000,20,10000,5531376160,5535544120,5504667730
400000,20,10000,6984680290,6956030565,6944541770
500000,20,10000,8462110180,8482884935,8459838745
600000,20,10000,8923965950,8906094065,8754312880
700000,20,10000,9853088530,9756724035,9845417885
800000,20,10000,11478075955,11285509765,11173043820
900000,20,10000,12696005180,12812869345,141992609365
1000000,20,10000,12887283875,12895326015,12891829460

